,Page,Texte
0,0,
1,1,"1
Par dela le bien et le malPrelude d’une
philosophie de l’avenir
Friedrich Nietzsche
Mercure de France, Paris, 1913
Exporte de Wikisource le 10 aout 2024"
2,2,"2
 
AVANT-PROPOS
 
En admettant que la verite soit femme, n’y aurait-il pas
quelque vraisemblance a affirmer que tous les philosophes,
dans 
la mesure ou ils etaient des 
dogmatiques, ne
s’entendaient pas a parler de la femme  ? Le serieux
tragique, la gaucherie importune qu’ils ont deployes jusqu’a
present pour conquerir la verite etaient des moyens bien
maladroits et bien inconvenants pour gagner le cur d’une
femme. Ce qui est certain, c’est que la femme dont il s’agit
ne s’est pas laisse gagner ; et toute espece de dogmatique
prend maintenant une attitude triste et decouragee, si tant
est qu’elle garde encore une attitude quelconque. Car il y a
des railleurs pour pretendre qu’elle n’en a plus du tout,
qu’elle est par terre aujourd’hui,  pis encore, que toute
dogmatique est a l’agonie. Pour parler serieusement, je
crois 
qu’il 
y 
a 
de 
bons 
motifs 
d’esperer 
que 
tout
dogmatisme en philosophie  quelle que fut son attitude
solennelle et quasi-definitive  n’a ete qu’un noble
enfantillage et un balbutiement. Et peut-etre le temps n’est-
il pas eloigne ou l’on comprendra sans cesse a nouveau ce
qui, en somme, suffit a former la pierre fondamentale d’un
pareil edifice philosophique, sublime et absolu, tel que"
3,3,"3
l’eleverent jusqu’a present les dogmatiques. Ce fut une
superstition populaire quelconque, datant des temps les plus
recules (comme, par exemple, le prejuge du sujet et du
moi)  ; ce fut peut-etre un jeu de mot quelconque, une
equivoque 
grammaticale, 
ou 
quelque 
generalisation
temeraire de faits tres restreints, tres personnels, tres
humains, trop humains. La philosophie des dogmatiques n’a
ete, esperons-le, qu’une promesse faite pour des milliers
d’annees, comme ce fut le cas de l’astrologie, a une epoque
anterieure encore,  de l’astrologie, au service de laquelle
on a depense peut-etre plus de travail, d’argent, de
perspicacite, de patience, qu’on ne l’a fait depuis pour toute
science veritable  ; et c’est a elle aussi, a ses aspirations
supra-terrestres, que l’on doit, en Asie et en Egypte,
l’architecture de grand style. Il semble que toutes les
grandes choses, pour graver dans le cur de l’humanite
leurs exigences eternelles, doivent errer d’abord sur la terre
en revetant un masque effroyable et monstrueux. La
philosophie dogmatique prit un masque de ce genre,
lorsqu’elle se manifesta dans la doctrine des Veda en Asie
ou dans le Platonisme en Europe. Ne soyons pas ingrats a
son egard, bien qu’il faille avouer que l’erreur la plus
nefaste, la plus penible et la plus dangereuse qui ait jamais
ete commise a ete une erreur des dogmatiques, je veux dire
l’invention de l’esprit et du bien en soi, faite par Platon."
4,3,"Il semble que toutes les
grandes choses, pour graver dans le cur de l’humanite
leurs exigences eternelles, doivent errer d’abord sur la terre
en revetant un masque effroyable et monstrueux. La
philosophie dogmatique prit un masque de ce genre,
lorsqu’elle se manifesta dans la doctrine des Veda en Asie
ou dans le Platonisme en Europe. Ne soyons pas ingrats a
son egard, bien qu’il faille avouer que l’erreur la plus
nefaste, la plus penible et la plus dangereuse qui ait jamais
ete commise a ete une erreur des dogmatiques, je veux dire
l’invention de l’esprit et du bien en soi, faite par Platon. Or,
maintenant que cette erreur est surmontee, maintenant que
l’Europe, delivree de ce cauchemar, se reprend a respirer et
jouit du moins d’un sommeil plus salutaire, c’est nous, nous
dont le devoir est la vigilance meme, qui heritons de toute la"
5,4,"4
force que la lutte contre cette erreur a fait grandir. Ce serait
en effet poser la verite tete en bas, et nier la perspective,
nier les conditions fondamentales de toute vie que de parler
de l’esprit et du bien a la facon de Platon. On pourrait
meme se demander, en tant que medecin, d’ou vient cette
maladie, nee sur le plus beau produit de l’antiquite, chez
Platon ? Le mechant Socrate l’aurait-il corrompu ? Socrate
aurait-il vraiment ete le corrupteur de la jeunesse ? Aurait-il
merite la cigue ?  Mais la lutte contre Platon, ou, plutot,
pour 
parler 
plus 
clairement, 
comme 
il 
convient 
au
  peuple  , 
la 
lutte 
contre 
l’oppression 
christiano-
ecclesiastique exercee depuis des milliers d’annees  car le
christianisme est du platonisme a l’usage du  peuple  
cette lutte a cree en Europe une merveilleuse tension de
l’esprit, telle qu’il n’y en eut pas encore sur terre : et avec
un arc si fortement tendu il est possible, des lors, de tirer sur
les cibles les plus lointaines. Il est vrai que l’homme
d’Europe souffre de cette tension et, par deux fois, l’on fit
de vastes tentatives pour detendre l’arc ; ce fut d’abord par
le jesuitisme et ensuite par le rationalisme democratique. A
l’aide de la liberte de la presse, de la lecture des journaux, il
se pourrait que l’on obtint veritablement ce resultat : l’esprit
ne mettrait plus tant de facilite a se considerer comme un
 peril . (Les Allemands ont invente la poudre  tous nos
compliments ! Ils se sont rattrapes depuis  ils ont invente
la presse.)"
6,4,"Il est vrai que l’homme
d’Europe souffre de cette tension et, par deux fois, l’on fit
de vastes tentatives pour detendre l’arc ; ce fut d’abord par
le jesuitisme et ensuite par le rationalisme democratique. A
l’aide de la liberte de la presse, de la lecture des journaux, il
se pourrait que l’on obtint veritablement ce resultat : l’esprit
ne mettrait plus tant de facilite a se considerer comme un
 peril . (Les Allemands ont invente la poudre  tous nos
compliments ! Ils se sont rattrapes depuis  ils ont invente
la presse.) Mais nous, nous qui ne sommes ni jesuites, ni
democrates, ni meme assez Allemands, nous autres bons
Europeens et esprits libres, tres libres esprits  nous
sentons encore en nous tout le peril de l’intelligence et toute"
7,5,"5
la tension de son arc  ! Et peut-etre aussi la fleche, la
mission, qui sait ? le but peut-etre...  
 
Sils Maria, Haute-Engadine.
Juin 1885.
 
CHAPITRE PREMIER
 
LES PREJUGES DES PHILOSOPHES
 
 
I.
 
La volonte du vrai, qui nous egarera encore dans bien des
aventures, cette fameuse veracite dont jusqu’a present tous
les philosophes ont parle avec veneration, que de problemes
cette volonte du vrai n’a-t-elle pas deja souleves pour
nous ? Que de problemes singuliers, graves et dignes d’etre
poses ! C’est toute une histoire  et, malgre sa longueur il
semble qu’elle vient seulement de commencer. Quoi
d’etonnant, si nous finissons par devenir mefiants, si nous
perdons patience, si nous nous retournons impatients ? Si ce
Sphinx nous a appris a poser des questions, a nous aussi ?"
8,6,"6
Qui est-ce au juste qui vient ici nous questionner ? Quelle
partie de nous-memes tend  a la verite  ?  De fait, nous
nous sommes longtemps arretes devant cette question : la
raison de cette volonte,  jusqu’a ce que nous ayons fini
par 
demeurer 
en 
suspens 
devant 
une 
question 
plus
fondamentale encore. Nous nous sommes alors demande
quelle etait la valeur de cette volonte. En admettant que
nous desirions la verite : pourquoi ne prefererions-nous pas
la non-verite ? Et l’incertitude ? Et meme l’ignorance ? 
Le probleme de la valeur du vrai s’est presente a nous, 
ou bien est-ce nous qui nous sommes presentes a ce
probleme  ? Qui de nous ici est dipe  ? Qui le Sphinx  ?
C’est, comme il semble, un veritable rendez-vous de
problemes et de questions.  Et, le croirait-on  ? il me
semble, en fin de compte, que le probleme n’a jamais ete
pose 
jusqu’ici, 
que 
nous 
avons 
ete 
les 
premiers 
a
l’apercevoir, a l’envisager, a avoir le courage de le traiter.
Car il y a des risques a courir, et peut-etre n’en est-il pas de
plus grands.
2.
  Comment une chose pourrait-elle naitre de son
contraire ? Par exemple, la verite de l’erreur ? Ou bien la
volonte du vrai de la volonte de l’erreur  ? L’acte
desinteresse de l’acte egoiste ? Comment la contemplation
pure et rayonnante du sage naitrait-elle de la convoitise ?
De telles origines sont impossibles  ; ce serait folie d’y
rever, pis encore  ! Les choses de la plus haute valeur
doivent avoir une autre origine, une origine qui leur est"
9,7,"7
particuliere,  elles ne sauraient etre issues de ce monde
passager, trompeur, illusoire, de ce labyrinthe d’erreurs et
de desirs ! C’est, tout au contraire, dans le sein de l’etre,
dans l’immuable, dans la divinite occulte, dans la  chose
en soi , que doit se trouver leur raison d’etre, et nulle part
ailleurs !   Cette facon d’apprecier constitue le prejuge
typique auquel on reconnait bien les metaphysiciens de tous
les temps. Ces evaluations se trouvent a l’arriere-plan de
toutes leurs methodes logiques  ; se basant sur cette
  croyance  , qui est la leur, ils font effort vers leur
  savoir  , 
vers 
quelque 
chose 
qui, 
a 
la 
fin, 
est
solennellement proclame   la verite  . La croyance
fondamentale 
des 
metaphysiciens 
c’est 
l’idee 
de
l’opposition des valeurs. Les plus avises parmi eux n’ont
jamais songe a elever des doutes des l’origine, la ou cela eut
ete le plus necessaire : quand meme ils en auraient fait vu
 de omnibus dubitandum . On peut se demander en effet,
premierement, si, d’une facon generale, il existe des
contrastes, et, en deuxieme lieu, si les evaluations et les
oppositions que le peuple s’est creees pour apprecier les
valeurs, sur lesquelles ensuite les metaphysiciens ont mis
leur empreinte, ne sont pas peut-etre des evaluations de
premier plan, des perspectives provisoires, projetees, dirait-
on, du fond d’un recoin, peut-etre de bas en haut,  des
  perspectives de grenouille  , en quelque sorte, pour
employer une expression familiere aux peintres  ?"
10,7,"On peut se demander en effet,
premierement, si, d’une facon generale, il existe des
contrastes, et, en deuxieme lieu, si les evaluations et les
oppositions que le peuple s’est creees pour apprecier les
valeurs, sur lesquelles ensuite les metaphysiciens ont mis
leur empreinte, ne sont pas peut-etre des evaluations de
premier plan, des perspectives provisoires, projetees, dirait-
on, du fond d’un recoin, peut-etre de bas en haut,  des
  perspectives de grenouille  , en quelque sorte, pour
employer une expression familiere aux peintres  ? Quelle
que soit la valeur que l’on attribue a ce qui est vrai,
veridique, desinteresse  : il se pourrait bien qu’il faille
reconnaitre a l’apparence, a la volonte d’illusion, a"
11,8,"8
l’egoisme et au desir une valeur plus grande et plus
fondamentale par rapport a la vie. De plus, il serait encore
possible que ce qui constitue la valeur de ces choses bonnes
et reverees consistat precisement en ceci qu’elles sont
parentes, liees et enchevetrees d’insidieuse facon et peut-
etre meme identiques a ces choses mauvaises, d’apparence
contradictoires. Peut-etre !  Mais qui donc s’occuperait
d’aussi dangereux peut-etre ! Il faut attendre, pour cela, la
venue d’une nouvelle espece de philosophes, de ceux qui
sont animes d’un gout different, quel qu’il soit, d’un gout et
d’un penchant qui differeraient totalement de ceux qui ont
eu cours jusqu’ici,  philosophes d’un dangereux peut-
etre, a tous egards.  Et, pour parler serieusement : je les
vois deja venir, ces nouveaux philosophes.
3.
Apres 
avoir 
passe 
assez 
de 
temps 
a 
scruter 
les
philosophes, a les lire entre les lignes, je finis par me dire
que la plus grande partie de la pensee consciente doit etre,
elle aussi, mise au nombre des activites instinctives, je
n’excepte meme pas la meditation philosophique. Il faut ici
apprendre a juger autrement, comme on a deja fait au sujet
de l’heredite et des   caracteres acquis  . De meme que
l’acte de la naissance n’entre pas en ligne de compte dans
l’ensemble du processus de l’heredite : de meme le fait de
la   conscience   n’est pas en opposition, d’une facon
decisive, avec les phenomenes instinctifs,  la plus grande
partie de la pensee consciente chez un philosophe est
secretement menee par ses instincts et forcee a suivre une"
12,9,"9
voie tracee. Derriere la logique elle-meme et derriere
l’autonomie apparente de ses mouvements, il y a des
evaluations 
de 
valeurs, 
ou, 
pour 
m’exprimer 
plus
clairement, des exigences physiques qui doivent servir au
maintien d’un genre de vie determine. Affirmer, par
exemple, 
que 
le 
determine 
a 
plus 
de 
valeur 
que
l’indetermine, 
l’apparence 
moins 
de 
valeur 
que 
la
 verite  : de pareilles evaluations, malgre leur importance
regulative pour nous, ne sauraient etre que des evaluations
de premier plan, une facon de niaiserie, utile peut-etre pour
la conservation d’etres tels que nous. En admettant, bien
entendu, que ce n’est pas l’homme qui est la  mesure des
choses ...
4.
La faussete d’un jugement n’est pas pour nous une
objection contre ce jugement. C’est la ce que notre nouveau
langage a peut-etre de plus etrange. Il s’agit de savoir dans
quelle mesure ce jugement accelere et conserve la vie,
maintient et meme developpe l’espece. Et, par principe,
nous inclinons a pretendre que les jugements les plus faux
(dont les jugements synthetiques a priori font partie) sont,
pour nous, les plus indispensables, que l’homme ne saurait
exister sans le cours force des valeurs logiques, sans
mesurer la realite a l’etiage du monde purement fictif de
l’inconditionne, de l’identique a soi, sans une falsification
constante du monde par le nombre,  a pretendre que
renoncer a des jugements faux ce serait renoncer a la vie,
nier la vie. Avouer que le mensonge est une condition"
13,10,"10
vitale, c’est la, certes, s’opposer de dangereuse facon aux
evaluations habituelles ; et il suffirait a une philosophie de
l’oser pour se placer ainsi par de la le bien et le mal.
5.
Ce qui incite a considerer tous les philosophes moitie
avec defiance, moitie avec ironie, ce n’est pas que l’on
s’apercoit sans cesse combien ils sont innocents, combien
ils se trompent et se meprennent facilement et souvent 
bref, ce n’est pas leur enfantillage et leur puerilite qui nous
choquent, mais leur manque de droiture. Eux, tout au
contraire, menent grand bruit de leur vertu, des que l’on
effleure, ne fut-ce que de loin, le probleme de la verite. Ils
font tous semblant d’etre parvenus a leurs opinions par le
developpement naturel d’une dialectique froide, pure et
divinement insouciante (differents en cela des mystiques de
toute espece qui, plus qu’eux, honnetes et lourds, parlent d’
  inspiration   ), tandis qu’ils defendent au fond une
these anticipee, une idee subite, une  inspiration , et, le
plus souvent, un desir intime qu’ils presentent d’une facon
abstraite, qu’ils passent au crible en l’etayant de motifs
laborieusement cherches. Ils sont tous des avocats qui ne
veulent pas passer pour tels. Le plus souvent ils sont meme
les defenseurs astucieux de leurs prejuges qu’ils baptisent
du nom de  verites   tres eloignes de l’intrepidite de
conscience qui s’avoue ce phenomene, tres eloignes du bon
gout de la bravoure qui veut aussi le faire comprendre aux
autres, soit pour mettre en garde un ennemi, ou un ami, soit
encore par audace et pour se moquer de cette bravoure. La"
